iter	Passed	Remaining
0	2	2104
1	3	1980
2	5	1986
3	7	1974
4	9	1950
5	11	1934
6	13	1937
7	15	1968
8	17	1963
9	19	1960
10	21	1972
11	24	1978
12	26	1985
13	28	1991
14	30	2005
15	32	2012
16	34	2013
17	36	2006
18	38	2006
19	41	2013
20	43	2014
21	45	2008
22	47	2000
23	49	1994
24	50	1987
25	52	1979
26	54	1973
27	57	1978
28	58	1970
29	60	1961
30	62	1958
31	64	1954
32	66	1950
33	68	1942
34	70	1934
35	72	1935
36	74	1940
37	76	1939
38	78	1938
39	80	1940
40	83	1946
41	85	1947
42	87	1945
43	89	1944
44	91	1940
45	93	1939
46	95	1938
47	97	1935
48	99	1933
49	101	1935
50	103	1934
51	105	1931
52	107	1929
53	109	1925
54	112	1927
55	114	1927
56	116	1926
57	118	1924
58	120	1923
59	122	1921
60	124	1918
61	126	1919
62	128	1917
63	130	1913
64	132	1911
65	134	1909
66	136	1906
67	138	1904
68	140	1901
69	142	1898
70	145	1898
71	147	1897
72	149	1893
73	151	1892
74	153	1892
75	155	1888
76	157	1885
77	159	1884
78	161	1883
79	163	1883
80	165	1881
81	167	1878
82	169	1877
83	171	1874
84	173	1870
85	175	1867
86	177	1862
87	179	1861
88	181	1858
89	183	1856
90	185	1854
91	187	1854
92	189	1852
93	192	1851
94	194	1848
95	196	1845
96	198	1844
97	200	1841
98	202	1838
99	204	1841
100	206	1837
101	208	1837
102	210	1834
103	212	1831
104	214	1827
105	216	1826
106	218	1821
107	220	1820
108	222	1816
109	224	1814
110	226	1811
111	228	1810
112	230	1805
113	232	1804
114	234	1803
115	236	1799
116	237	1795
117	239	1791
118	241	1787
119	243	1782
120	244	1777
121	246	1773
122	248	1769
123	249	1764
124	251	1761
125	253	1756
126	255	1753
127	256	1750
128	258	1746
129	260	1743
130	262	1741
131	264	1737
132	266	1735
133	268	1733
134	269	1729
135	271	1725
136	273	1722
137	275	1719
138	276	1715
139	278	1711
140	281	1714
141	283	1711
142	284	1707
143	286	1704
144	288	1700
145	290	1697
146	292	1695
147	293	1691
148	296	1691
149	298	1689
150	300	1687
